Ribosome	0.000611661491061129	91	210	1.46921204946067	1.52313832756511e-06	80	212	1.7647707571433	2.23160428400522e-06	140	189	1.33867200533867	0.00261408595777567	221	476	1.21163004542772	
Envelope	0.00893702361947668	375	1098	1.15795401123949	1.61967754375726e-10	338	1127	1.40257778808629	0.000122155015534217	325	501	1.17234000467533	1.41574875884246e-15	725	1482	1.27665783879283	
Spindle	0.00551222690576598	136	354	1.30256087827021	0.00836090652286723	108	377	1.33972782677563	0.000199218861940067	101	138	1.32266614440527	0.000130417913780366	62	103	1.57086613806014	
Nucleolus	9.42362158104858e-09	346	875	1.34069635810125	4.74860657453306e-10	278	900	1.44456290754163	-	-	-	-	1.99013631494044e-05	249	510	1.27413041881177	
Chromosome	-	-	-	-	1.58620762265935e-15	362	1129	1.49950804900582	2.35374481607516e-18	501	697	1.29901120632828	0.000150715898301353	192	390	1.28475801266655	
Nuclear body	0.000109094443728639	280	753	1.26073972984673	3.24752690914602e-06	224	763	1.37295926794268	-	-	-	-	0.000822068271662391	71	127	1.45894641448232	
DNA packaging complex	0.000876643145910418	38	71	1.81462810009227	-	-	-	-	8.8671239688476e-06	97	126	1.39126269126269	0.00324107392107151	35	56	1.63104044576809	
RNA binding	7.32229446372516e-13	589	1520	1.31381462115233	1.02225578201871e-13	346	1087	1.48860929827478	2.3052294639909e-18	498	687	1.31002793186199	3.58954186784138e-16	899	1867	1.25660877192973	
Catalytic activity, acting on a nucleic acid	1.9592695973508e-12	239	524	1.54642548365135	7.54061088468987e-19	213	540	1.84467565531395	4.16571630145152e-16	287	372	1.39427007652814	0.00025114379460604	414	896	1.20580490097855	
Nuclease activity	2.72027083744064e-07	94	183	1.7415628329042	0.000460078099280152	69	193	1.67196027431944	1.36365354313174e-05	94	121	1.40394609485519	-	-	-	-	
Transferase activity, transferring one-carbon groups	0.00083790518204732	91	205	1.50504648969142	0.000171181130396996	76	212	1.67653221928613	0.000302518984052267	97	131	1.33816106182518	-	-	-	-	
Structural constituent of ribosome	0.00724716341506921	64	143	1.51742180471462	0.000243745134185011	58	151	1.79632626074785	5.73920264597738e-06	128	171	1.35276328960539	-	-	-	-	
