Cell division	0.0013507921057442	133	567	1.40634342181214	0.00450434920961412	99	566	1.45289993308524	2.61968340881159e-14	203	362	1.58472592422294	-	-	-	-	
Macromolecule catabolic process	0.00613829961147471	275	1346	1.22492764999082	0.000173678454036229	203	1235	1.36535636945674	1.81534987654718e-13	280	543	1.45721924066477	-	-	-	-	
Posttranscriptional regulation of gene expression	0.0036770570080275	135	591	1.36952224753012	-	-	-	-	1.98343220870331e-08	132	241	1.54783115432555	0.00263700099788783	93	319	1.46112274288887	
Aerobic respiration	0.00438852388871976	48	167	1.72324715537522	4.31464121684e-05	44	167	2.18853323253825	0.00926657281359325	63	128	1.39090438068921	-	-	-	-	
Mitochondrion	5.69471132398777e-14	364	1472	1.4825739934464	7.52833123828242e-27	370	1752	1.75422203765227	2.32095934058019e-11	395	842	1.32571966760258	3.07532010629205e-14	510	1855	1.37790950955332	
Ribonucleoprotein complex	1.19910405101766e-10	174	623	1.67449558055421	2.46891289194027e-20	170	662	2.13308357840431	4.05435709614955e-41	355	560	1.7914596105022	3.22422268607898e-15	241	730	1.65458322802406	
Nuclear protein-containing complex	4.75076016109514e-15	292	1095	1.5987904163759	1.50372205550988e-23	254	1098	1.92153507736809	7.69235107535129e-59	532	855	1.75837788373549	6.17464102797955e-10	258	880	1.46937101643744	
Catalytic complex	5.64486341741071e-12	311	1256	1.48454563940955	3.73333584889438e-18	269	1296	1.72410701468356	6.84546715105641e-30	516	972	1.50020335318703	2.09322864646845e-07	305	1134	1.34797308290543	
Nucleolus	7.70418085548142e-08	215	875	1.47317116937494	9.97690885602461e-09	173	900	1.59668973791067	1.1485511612347e-07	121	223	1.53337084832475	4.12773850240342e-07	155	510	1.52319658490703	
Intracellular protein-containing complex	1.78407798629528e-10	185	678	1.63593045923419	8.09905101786441e-12	152	692	1.8245443896069	2.66333892800979e-13	266	514	1.46246409590841	0.000197961581200513	182	680	1.34139570219232	
Ribosome	0.00128344300830799	58	210	1.65589007410361	2.77216514258133e-09	61	212	2.39007161662383	9.5313304916643e-14	120	189	1.79426314666887	1.72297142696174e-08	152	476	1.60040931501752	
Chromosome	0.00273021932690877	322	1606	1.20207934481563	2.67751942207256e-23	258	1129	1.89820321396938	3.24045434449927e-44	427	697	1.73125799528476	0.00152496246498301	109	390	1.40073611505346	
Protein-DNA complex	2.8592324493348e-06	55	159	2.07390266275176	0.000290785108458219	48	216	1.84588409007014	3.22101282502734e-19	110	151	2.05864960371114	0.0053163447610298	34	97	1.75671624757485	
Envelope	0.00568755712818014	226	1098	1.23403905089124	3.4919692924315e-07	199	1127	1.46671624015777	3.13334566992044e-05	227	501	1.28042700900756	7.63918365552889e-14	420	1482	1.42035047880843	
Sm-like protein family complex	0.00827865564331808	24	72	1.99848802046988	0.00179336394219861	21	74	2.35724387177876	1.41724287220621e-07	46	65	1.99991330732553	0.00343450570051817	33	91	1.81746887798548	
Microtubule cytoskeleton	2.98657415819255e-06	269	1193	1.35186909683084	4.30485153740464e-10	235	1269	1.53823674172511	8.85668000753058e-06	185	390	1.34052160092472	-	-	-	-	
DNA packaging complex	6.26680020446682e-05	29	71	2.44885151804055	3.00756143478894e-05	35	125	2.32581395348837	2.42740837083946e-18	95	126	2.13068748666928	-	-	-	-	
Nuclear body	2.02318863463182e-05	178	753	1.4172544527635	2.92614924392875e-08	150	763	1.63299051218525	0.00264730932137342	47	87	1.52667045324325	-	-	-	-	
RNA binding	1.3135505426853e-16	385	1520	1.51858793660704	2.41187860957807e-16	232	1087	1.77286383627711	3.14430921198926e-33	400	687	1.64539415196708	1.7405495287469e-18	538	1867	1.4442168010325	
Catalytic activity, acting on a nucleic acid	6.02229235023261e-20	179	524	2.04806883013802	4.1049773747133e-20	149	540	2.29197274517042	2.0032145992445e-20	224	372	1.70165601651822	1.06058001913441e-05	245	896	1.37041628228782	
Structural constituent of ribosome	-	-	-	-	1.21943798638917e-07	47	151	2.58546016589294	8.95937893216472e-14	112	171	1.85092408814262	3.01057236291249e-06	122	376	1.62617178299443	
Nuclease activity	4.60401594623341e-07	64	183	2.09677431655856	2.9141495733374e-06	52	193	2.23801490713167	3.14191484300333e-05	69	121	1.61150039226644	-	-	-	-	
Hydrolase activity, acting on acid anhydrides	2.22623108813864e-05	161	657	1.46920808810799	0.000494510229695307	119	668	1.47974690154575	1.9678717835069e-09	224	444	1.42571179762337	-	-	-	-	
Single-stranded DNA binding	0.000384382885305754	38	109	2.09016178287675	0.00030655499386127	32	115	2.31136790408782	5.49129567071353e-06	36	50	2.0346944083225	-	-	-	-	
ATP-dependent activity	0.0018095202056037	121	510	1.42245323809915	3.87335127517228e-05	106	546	1.61261302374259	7.82108915048674e-06	198	418	1.33861474231743	-	-	-	-	
Damaged DNA binding	0.0052883694731805	23	61	2.2605848100397	-	-	-	-	0.00101047212444064	19	25	2.14773298656264	0.00183735236095248	22	45	2.45021730217302	
